a_walk,acor_1.rho,acor_2.rho,acor_3.rho,acor_1.phi,acor_2.phi,acor_3.phi,dos.min,dos.max,dos.mean,dos.std,fdc_cor,fn_cor,n_deg.min,n_deg.max,n_deg.mean,n_deg.std,n_walk.min,n_walk.max,n_walk.mean,n_walk.std
7.94375,0.871615,0.765617,0.670246,0.871615,0.0245702,-0.00873073,2.0,14.0,7.97375,2.07137,-1.0,0.879369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.23,0.933877,0.875112,0.821247,0.933877,0.0233485,0.00999105,4.0,15.0,9.76,2.26989,-1.0,0.90669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.1531,0.941193,0.879821,0.830577,0.941193,-0.0527576,0.0743516,8.0,24.0,16.0969,2.79285,-1.0,0.932479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.01,0.860542,0.743222,0.634307,0.860542,0.0103636,-0.0291269,8.0,30.0,19.955,3.08512,-1.0,0.949856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.018,0.932701,0.874266,0.817932,0.932701,0.0333314,-0.0108128,14.0,33.0,24.824,3.53285,-1.0,0.962639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9475,0.755189,0.640043,0.543402,0.755189,0.162287,0.0380824,0.0,65.0,7.98625,2.96202,-0.656245,0.125444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.245,-0.301748,0.520674,-0.198886,-0.301748,0.472659,0.037669,0.0,81.0,10.72,12.7836,-0.192582,-0.287905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.784375,-0.431753,0.829167,-0.432404,-0.431753,0.790026,-0.052776,0.0,2841490000.0,310792000.0,886853000.0,-0.00763252,-0.0885578,0.0,0.0,0.0,0.0,0.0,23.0,13.2431,3.6096
0.7625,-0.581524,0.799759,-0.589563,-0.581524,0.697443,-0.127303,0.0,2717500000.0,487647000.0,1037210000.0,0.308866,-0.398447,0.0,12.0,0.12,1.19398,0.0,0.0,0.0,0.0
1.412,-0.499958,0.701357,-0.50596,-0.499958,0.601831,-0.136822,0.0,2229060000.0,339804000.0,746069000.0,-0.0744876,-0.319487,0.0,29.0,3.51,8.9399,0.0,0.0,0.0,0.0
4.0675,0.125229,0.306625,0.230874,0.125229,0.295578,0.185691,0.0,65.0,7.26125,2.95981,-0.654241,0.310111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.235,-0.248528,0.22508,-0.129226,-0.248528,0.174065,-0.0437068,0.0,81.0,12.25,16.8928,-0.191592,-0.27028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.775,-0.185174,0.786542,-0.186557,-0.185174,0.778963,-0.0266505,0.0,3473160000.0,423295000.0,1136210000.0,0.0465418,-0.242653,0.0,0.0,0.0,0.0,0.0,28.0,14.7695,4.08415
